time,action,ticker,price,qty,fee,cost,source,spread,capital_after,slippage,mid_at_fill,note
2025-12-12 10:20:12.389347,BUY_YES,KXHIGHNY-25DEC12-B38.5,1.0,90,0.07,0.97,MM,1.0,110.05000000000013,0.5,0.5,
2025-12-12 10:34:14.715723,BUY_NO,KXHIGHNY-25DEC12-B34.5,51.0,1,0.02,0.53,MM,3.0,109.52000000000012,1.5,50.5,
2025-12-12 10:34:14.780340,BUY_NO,KXHIGHNY-25DEC12-B34.5,51.0,1,0.02,0.53,MM,2.0,108.99000000000012,1.0,50.0,
2025-12-12 10:43:20.817086,BUY_YES,KXHIGHNY-25DEC12-B36.5,48.0,1,0.02,0.5,MM,1.0,108.49000000000012,1.5,46.5,
2025-12-12 10:53:38.432808,BUY_NO,KXHIGHNY-25DEC12-B34.5,41.0,4,0.07,1.71,MM,11.0,106.78000000000013,5.5,64.5,
2025-12-12 10:53:58.082064,BUY_YES,KXHIGHNY-25DEC12-B36.5,29.0,6,0.09,1.8299999999999998,MM,2.0,104.95000000000013,1.0,28.0,
2025-12-12 10:53:59.150266,BUY_YES,KXHIGHNY-25DEC12-B36.5,29.0,5,0.08,1.53,MM,1.0,103.42000000000013,1.5,27.5,
2025-12-12 10:54:04.935386,BUY_YES,KXHIGHNY-25DEC12-B36.5,29.0,2,0.03,0.61,MM,1.0,102.81000000000013,1.5,27.5,
2025-12-12 10:54:14.352107,BUY_YES,KXHIGHNY-25DEC12-B36.5,28.0,4,0.06,1.1800000000000002,MM,3.0,101.63000000000012,1.5,26.5,
2025-12-12 10:54:15.472699,BUY_NO,KXHIGHNY-25DEC12-B34.5,25.0,9,0.12,2.37,MM,2.0,99.26000000000012,2.0,77.0,
2025-12-12 10:54:15.599987,BUY_NO,KXHIGHNY-25DEC12-B34.5,24.0,9,0.12,2.2800000000000002,MM,1.0,96.98000000000012,1.5,77.5,
2025-12-12 10:54:15.732172,BUY_YES,KXHIGHNY-25DEC12-B36.5,28.0,3,0.05,0.8900000000000001,MM,2.0,96.09000000000012,2.0,26.0,
2025-12-12 10:54:17.046264,BUY_YES,KXHIGHNY-25DEC12-B36.5,27.0,5,0.07,1.4200000000000002,MM,4.0,94.67000000000012,2.0,25.0,
2025-12-12 10:54:17.153328,BUY_YES,KXHIGHNY-25DEC12-B36.5,27.0,3,0.05,0.8600000000000001,MM,3.0,93.81000000000012,2.5,24.5,
2025-12-12 10:54:17.185103,BUY_YES,KXHIGHNY-25DEC12-B36.5,26.0,5,0.07,1.37,MM,2.0,92.44000000000011,2.0,24.0,
2025-12-12 10:54:20.265072,BUY_YES,KXHIGHNY-25DEC12-B36.5,26.0,2,0.03,0.55,MM,3.0,91.89000000000011,1.5,24.5,
2025-12-12 10:54:32.594274,BUY_NO,KXHIGHNY-25DEC12-B34.5,28.0,7,0.1,2.06,MM,6.0,89.83000000000011,3.0,75.0,
2025-12-12 10:54:46.039903,BUY_NO,KXHIGHNY-25DEC12-B34.5,29.0,1,0.02,0.31,MM,7.0,89.52000000000011,3.5,74.5,
2025-12-12 10:54:47.579190,BUY_NO,KXHIGHNY-25DEC12-B34.5,28.0,1,0.02,0.30000000000000004,MM,4.0,89.22000000000011,2.0,74.0,
2025-12-12 10:54:50.445994,BUY_YES,KXHIGHNY-25DEC12-B36.5,22.0,4,0.05,0.93,MM,3.0,88.2900000000001,1.5,20.5,
2025-12-12 10:54:50.446093,BUY_YES,KXHIGHNY-25DEC12-B36.5,22.0,3,0.04,0.7000000000000001,MM,4.0,87.5900000000001,2.0,20.0,
2025-12-12 10:54:50.446156,BUY_YES,KXHIGHNY-25DEC12-B36.5,22.0,2,0.03,0.47,MM,9.0,87.1200000000001,4.5,17.5,
2025-12-12 10:55:02.275328,BUY_YES,KXHIGHNY-25DEC12-B36.5,20.0,3,0.04,0.6400000000000001,MM,6.0,86.4800000000001,3.0,17.0,
2025-12-12 10:55:08.195370,BUY_YES,KXHIGHNY-25DEC12-B36.5,18.0,2,0.03,0.39,MM,4.0,86.0900000000001,2.0,16.0,
2025-12-12 10:57:36.979894,BUY_NO,KXHIGHNY-25DEC12-B34.5,25.0,7,0.1,1.85,MM,3.0,84.24000000000011,1.5,76.5,
2025-12-12 10:57:36.980216,BUY_NO,KXHIGHNY-25DEC12-B34.5,25.0,6,0.08,1.58,MM,4.0,82.66000000000011,2.0,77.0,
2025-12-12 10:57:39.047375,BUY_NO,KXHIGHNY-25DEC12-B34.5,25.0,5,0.07,1.32,MM,3.0,81.34000000000012,2.5,77.5,
2025-12-12 10:57:39.189517,BUY_NO,KXHIGHNY-25DEC12-B34.5,24.0,6,0.08,1.52,MM,2.0,79.82000000000012,1.0,77.0,
2025-12-12 10:57:47.819177,BUY_NO,KXHIGHNY-25DEC12-B34.5,24.0,5,0.07,1.27,MM,1.0,78.55000000000013,1.5,77.5,
2025-12-12 10:58:23.247394,BUY_NO,KXHIGHNY-25DEC12-B34.5,24.0,3,0.04,0.76,MM,2.0,77.79000000000012,1.0,77.0,
2025-12-12 10:58:25.485344,BUY_NO,KXHIGHNY-25DEC12-B34.5,24.0,2,0.03,0.51,MM,1.0,77.28000000000011,1.5,77.5,
2025-12-12 10:58:25.972384,BUY_NO,KXHIGHNY-25DEC12-B34.5,23.0,3,0.04,0.7300000000000001,MM,2.0,76.55000000000011,1.0,78.0,
2025-12-12 10:58:28.557401,BUY_NO,KXHIGHNY-25DEC12-B34.5,23.0,2,0.03,0.49,MM,1.0,76.06000000000012,0.5,77.5,
2025-12-12 10:58:30.558861,BUY_NO,KXHIGHNY-25DEC12-B34.5,23.0,1,0.02,0.25,MM,2.0,75.81000000000012,1.0,78.0,
2025-12-13 09:04:52.473661,BUY_YES,KXHIGHNY-25DEC13-B38.5,39.0,1,0.02,0.41000000000000003,MM,3.0,84.40000000000012,2.5,36.5,
2025-12-13 09:04:53.804908,BUY_YES,KXHIGHNY-25DEC13-B38.5,38.0,3,0.05,1.1900000000000002,MM,2.0,83.21000000000012,2.0,36.0,
2025-12-13 09:05:57.197027,BUY_NO,KXHIGHNY-25DEC13-B40.5,45.0,1,0.02,0.47000000000000003,MM,3.0,82.74000000000012,1.5,56.5,
2025-12-13 09:05:59.439726,BUY_NO,KXHIGHNY-25DEC13-B40.5,44.0,1,0.02,0.46,MM,2.0,82.28000000000013,2.0,58.0,
