timestamp,market_ticker,best_yes_bid,best_no_bid,implied_no_ask,implied_yes_ask,last_trade_price
2026-01-08T23:09:21.706093,KXHIGHNY-26JAN09-B49.5,16,78,84,22,18
2026-01-08T23:09:21.913141,KXHIGHNY-26JAN09-B51.5,41,53,59,47,40
2026-01-08T23:09:21.917646,KXHIGHNY-26JAN09-B49.5,16,79,84,21,18
2026-01-08T23:09:21.992486,KXHIGHNY-26JAN09-B51.5,41,54,59,46,40
2026-01-08T23:09:23.091571,KXHIGHNY-26JAN09-B49.5,16,80,84,20,18
2026-01-08T23:09:24.068784,KXHIGHNY-26JAN09-B55.5,9,86,91,14,11
2026-01-08T23:09:24.238007,KXHIGHNY-26JAN09-B49.5,16,79,84,21,18
2026-01-08T23:09:24.244007,KXHIGHNY-26JAN09-B55.5,9,87,91,13,11
2026-01-08T23:09:24.265141,KXHIGHNY-26JAN09-B51.5,41,53,59,47,40
2026-01-08T23:09:24.265141,KXHIGHNY-26JAN09-B51.5,41,55,59,45,40
2026-01-08T23:09:24.759921,KXHIGHNY-26JAN09-B51.5,40,55,60,45,40
2026-01-08T23:09:24.986204,KXHIGHNY-26JAN09-B51.5,41,55,59,45,40
2026-01-08T23:09:27.811209,KXHIGHNY-26JAN09-B49.5,16,80,84,20,18
2026-01-08T23:09:29.117510,KXHIGHNY-26JAN09-B49.5,16,79,84,21,18
2026-01-08T23:09:29.152724,KXHIGHNY-26JAN09-B49.5,16,80,84,20,18
2026-01-08T23:09:29.804820,KXHIGHNY-26JAN09-B55.5,9,86,91,14,11
2026-01-08T23:09:30.001782,KXHIGHNY-26JAN09-B55.5,9,87,91,13,11
2026-01-08T23:09:30.034272,KXHIGHNY-26JAN09-B51.5,41,53,59,47,40
2026-01-08T23:09:30.130300,KXHIGHNY-26JAN09-B51.5,41,54,59,46,40
